symbol,signal_date,outcome,model_prob,predicted_win,actual_win,mfe5,mae5,days_to_1atr
ACV,2022-01-13,DEEP_DRAWDOWN,0.4127123891130239,False,False,-0.23111419311496054,-9.1050270796988,-1.0
ACV,2022-02-09,DEEP_DRAWDOWN,0.2853789642723984,False,False,-0.5263676938137617,-1.7482926973099977,-1.0
ACV,2023-01-26,WIN,0.6951532396248857,True,True,3.3645458074297414,0.3868882242629694,2.0
ACV,2023-02-06,DEEP_DRAWDOWN,0.12917463874742965,False,False,-0.08628457667860406,-1.0929379712623437,-1.0
ACV,2023-06-15,DEEP_DRAWDOWN,0.4830133727728755,False,False,1.009461616530452,-1.6656116672752608,1.0
ACV,2023-11-22,WIN,0.8738780123063687,True,True,1.8573437099172525,-0.7084713120302881,5.0
ACV,2023-12-12,WIN,0.7980636253954648,True,True,2.650901932014301,0.7574005520040769,1.0
ACV,2023-12-11,DEEP_DRAWDOWN,0.5847759261351274,True,False,0.7841002336338384,-1.3441718290865727,-1.0
ACV,2024-01-11,DEEP_DRAWDOWN,0.2968632645980136,False,False,1.1950574146686983,-1.3199141594848185,-2.0
ACV,2024-02-09,DEEP_DRAWDOWN,0.3578246257418415,False,False,0.4408207404001724,-1.129603147275441,-2.0
ACV,2024-04-12,DEEP_DRAWDOWN,0.5293057641299067,True,False,0.0,-3.5799247468921704,-2.0
ACV,2024-09-06,WIN,0.4900276168194828,False,True,1.8626993339111497,-0.10543581135346508,2.0
ACV,2024-11-15,WIN,0.4510484649970052,False,True,4.285273411243081,1.4284244704143712,1.0
ACV,2024-11-18,WIN,0.6232379869595934,True,True,3.065411085838373,0.2665574857250711,2.0
ACV,2024-11-14,DEEP_DRAWDOWN,0.6727495982959213,True,False,1.6324528145103716,-2.4996933722189962,-1.0
ACV,2024-12-11,DEEP_DRAWDOWN,0.7680513832382483,True,False,-2.2546726750776833,-4.603290044950274,-1.0
ACV,2025-02-20,DEEP_DRAWDOWN,0.6813619349066368,True,False,-2.0606220200553147,-6.549834278033025,-1.0
ACV,2025-04-14,WIN,0.6221044211753687,True,True,0.39791562663168695,0.0,6.0
ACV,2025-08-04,WIN,0.7428823012645724,True,True,2.6431645831208983,-0.271093803397009,3.0
ACV,2025-08-19,DEEP_DRAWDOWN,0.49854040122533005,False,False,2.899560201514252,-1.0187643951266185,-1.0
ACV,2025-10-14,DEEP_DRAWDOWN,0.6800157740934185,True,False,1.0173006126077426,-0.8719719536637793,1.0
ACV,2025-11-24,WIN,0.8160196395170164,True,True,3.1980809457269537,0.3115013908175576,2.0
ACV,2025-12-17,WIN,0.9025092075379381,True,True,4.930458482404528,0.0,3.0
ACV,2026-01-30,DEEP_DRAWDOWN,0.5660795308547484,True,False,0.7742148609446067,-3.742038494565594,-1.0
ACV,2026-07-27,DEEP_DRAWDOWN,0.6563376815885935,True,False,-1.2330681183089454,-1.4614140661439345,-1.0
ACV,2026-07-24,DEEP_DRAWDOWN,0.6138536816602971,True,False,0.6771977853535212,-1.8007304746900168,-2.0
ACV,2026-06-29,DEEP_DRAWDOWN,0.4312126000481594,False,False,1.290092481243788,-0.322523120310941,2.0
ACVA,2021-11-08,DEEP_DRAWDOWN,0.3963257450026838,False,False,0.34355841396909453,-1.6936827074616772,-2.0
ACVA,2021-12-07,DEEP_DRAWDOWN,0.44897076418011017,False,False,0.9114580301878015,-1.0648717580411955,-5.0
ACVA,2021-11-22,DEEP_DRAWDOWN,0.6857312481412995,True,False,0.02568606942846425,-1.7261038655928953,-1.0
ACVA,2021-11-30,DEEP_DRAWDOWN,0.6646434084888219,True,False,1.1045077632160272,-1.93416106000963,4.0
ACVA,2022-09-15,DEEP_DRAWDOWN,0.0015532529122132556,False,False,-0.6866788720784943,-2.3513549256021147,-1.0
ACVA,2022-11-21,WIN,0.30342799009289295,False,True,0.4503538690140127,-0.44185662620242927,6.0
ACVA,2023-01-30,WIN,0.5196152913907776,True,True,4.190163042838828,0.18486013424288927,2.0
ACVA,2023-02-13,DEEP_DRAWDOWN,0.5611780024901344,True,False,2.248495212253056,-0.5131420608876276,1.0
ACVA,2023-05-04,WIN,0.8189342135531447,True,True,8.317075110933446,-0.1827928595809551,1.0
ACVA,2023-07-06,WIN,0.8606103041504668,True,True,4.299230571847959,0.2115763076696831,2.0
ACVA,2023-08-17,WIN,0.8625083148464578,True,True,1.4022173618093936,-0.443639391306925,4.0
ACVA,2023-11-14,DEEP_DRAWDOWN,0.08056319557943262,False,False,1.3384868540904564,-0.30275297890141134,1.0
ACVA,2024-01-04,DEEP_DRAWDOWN,0.5814733543005727,True,False,1.4453226604850464,-1.056197328815997,-2.0
ACVA,2024-01-03,DEEP_DRAWDOWN,0.20770022420481501,False,False,0.49819695670973596,-1.9927878268389472,-2.0
ACVA,2023-12-19,DEEP_DRAWDOWN,0.002266628944405517,False,False,1.1480273442321498,-0.46239990253795143,3.0
ACVA,2024-01-16,DEEP_DRAWDOWN,0.638326216810164,True,False,0.7822849220450224,-0.8776855222944133,-8.0
ACVA,2024-02-13,WIN,0.6024717063185805,True,True,1.581743352674856,-0.09067318582212536,2.0
ACVA,2024-02-22,DEEP_DRAWDOWN,0.24004993154530438,False,False,2.5738670405903776,-0.5627989155809864,3.0
ACVA,2024-03-11,WIN,0.8853303178657239,True,True,1.685817251508875,-0.28573173754388126,5.0
ACVA,2024-04-02,DEEP_DRAWDOWN,0.046612079091629434,False,False,1.2764489327847937,-0.4546256472932105,2.0
ACVA,2024-03-25,DEEP_DRAWDOWN,0.17461653891764534,False,False,0.6223605859549932,-1.818586127790574,-5.0
ACVA,2024-04-26,DEEP_DRAWDOWN,0.10050655544866803,False,False,0.2729291896010846,-1.8944496689957837,-2.0
ACVA,2024-05-29,DEEP_DRAWDOWN,0.1514543613524287,False,False,0.5566001297357756,-0.6901841608723616,10.0
ACVA,2024-05-20,DEEP_DRAWDOWN,0.3473416795710239,False,False,1.2433390993316114,-0.6808761734435028,5.0
ACVA,2024-06-13,DEEP_DRAWDOWN,0.23945096713614875,False,False,-0.25125804507273014,-1.5577998794509413,-1.0
ACVA,2024-06-27,DEEP_DRAWDOWN,0.14195152466715652,False,False,0.3933271393863506,-1.3677057346843635,-2.0
ACVA,2024-07-22,DEEP_DRAWDOWN,0.34021946901107863,False,False,0.637766984111943,-2.3148579423322553,-2.0
ACVA,2024-07-19,DEEP_DRAWDOWN,0.48967270426933873,False,False,0.7961938764621926,-1.584732042573789,-3.0
ACVA,2024-09-03,WIN,0.21764081716083972,False,True,1.9198095803196809,-0.5399464444649104,4.0
ACVA,2024-08-20,DEEP_DRAWDOWN,0.5029765956528344,True,False,1.2502458789867819,-0.9509848973144124,4.0
ACVA,2024-08-21,DEEP_DRAWDOWN,0.6228063558281707,True,False,1.639540678828175,-0.6311202613062441,3.0
ACVA,2024-08-28,DEEP_DRAWDOWN,0.5159511876942932,True,False,0.4032465346416854,-0.9833555844770874,7.0
ACVA,2024-10-07,DEEP_DRAWDOWN,0.41325887741218137,False,False,0.8067833189166292,-1.906942390166571,-3.0
ACVA,2024-10-03,DEEP_DRAWDOWN,0.12459385095966943,False,False,0.5975718531555674,-2.5189951963788606,-2.0
ACVA,2024-10-11,DEEP_DRAWDOWN,0.3783294295624431,False,False,1.2883956687193252,-0.7374369945959258,3.0
ACVA,2024-10-21,DEEP_DRAWDOWN,0.5097354238161282,True,False,0.07079711095727201,-1.9469205513250243,-2.0
ACVA,2025-02-20,DEEP_DRAWDOWN,0.46936132133152075,False,False,0.7689218185163477,-3.229471637768652,-1.0
ACVA,2025-02-20,DEEP_DRAWDOWN,0.6616369363867488,True,False,0.7689218185163477,-3.229471637768652,-1.0
ACVA,2024-11-21,WIN,0.826337162416259,True,True,2.469135012012865,0.07054671462893862,2.0
ACVA,2024-12-19,DEEP_DRAWDOWN,0.7178293906007354,True,False,1.42338381923681,-0.3587390113523693,1.0
ACVA,2025-01-14,DEEP_DRAWDOWN,0.8222580116284974,True,False,1.6019725083936713,0.22714535566776092,4.0
ACVA,2025-02-07,DEEP_DRAWDOWN,0.8268914372907873,True,False,1.2584405793457367,-0.25451607222722705,4.0
ACVA,2025-05-28,DEEP_DRAWDOWN,0.17158841567269595,False,False,0.3136709908187192,-1.3469401370451037,-2.0
ACVA,2025-08-21,DEEP_DRAWDOWN,0.7548603003436707,True,False,1.3278779252769948,-0.13549774747724638,1.0
ACVA,2025-10-28,DEEP_DRAWDOWN,0.3871911568480066,False,False,0.6970766742836555,-1.0992362940626765,-2.0
ACVA,2026-05-12,WIN,0.9005112473544751,True,True,0.9668302190646454,-0.7385508617854933,11.0
ACVA,2026-07-10,WIN,0.7795114536441303,True,True,3.124177797114443,-0.19715685127421084,2.0
ACWI,2021-05-13,WIN,0.911204451484578,True,True,1.7487265433790915,-0.4660194746208066,1.0
ACWI,2021-07-08,WIN,0.7272986531907011,True,True,2.474766307075076,0.7913886835632894,1.0
ACWI,2021-07-08,WIN,0.6262014610036297,True,True,2.474766307075076,0.7913886835632894,1.0
