timestamp_et,open,high,low,close,volume,sma_26,pct_15m,wa,wa_old
2026-07-06 02:15:00 PM ET,298.12,298.87,297.96,298.695,3603,295.53730769230765,0.19623628861829,14.583774933298006,4532.552398584822
2026-07-06 02:30:00 PM ET,298.9,298.9,298.555,298.75,1876,295.9661538461538,0.0184134317614992,14.729739352196866,4559.375625045028
2026-07-06 02:45:00 PM ET,299.01,299.185,298.86,298.86,2356,296.415,0.0368200836820209,14.904726058691432,4587.105141309233
2026-07-06 03:00:00 PM ET,299.175,299.68,299.035,299.035,3350,296.85038461538466,0.0585558455464152,15.073265763441206,4614.929861154358
2026-07-06 03:15:00 PM ET,299.09,300.465,299.09,300.405,5298,297.3359615384615,0.4581403514638538,15.25462655008624,4644.2125892472395
2026-07-06 03:30:00 PM ET,299.765,300.49,299.57,300.12,8603,297.79096153846154,-0.0948719229040717,15.424571461921424,4673.236784990226
2026-07-06 03:45:00 PM ET,300.155,300.3,298.965,299.49,54519,298.1859615384616,-0.2099160335865657,15.59908711303786,4701.851188847236
2026-07-07 09:30:00 AM ET,305.83,308.0,302.17,302.56,19848,298.5767307692308,1.0250759624695238,15.752182304949676,4732.680443783866
2026-07-07 09:45:00 AM ET,302.18,303.98,300.685,301.98,17817,298.83173076923083,-0.1916975145425659,15.88102147508248,4763.308837541208
2026-07-07 10:00:00 AM ET,301.64,303.47,301.08,301.08,10146,299.0305769230769,-0.2980329823167205,15.974913833214,4793.021377065459
2026-07-07 10:15:00 AM ET,301.12,303.84,300.96,303.48,14600,299.2878846153846,0.7971303308091038,16.0935600977204,4777.640112149346
2026-07-07 10:30:00 AM ET,303.465,303.79,302.365,303.335,12015,299.57884615384614,-0.0477790958218093,16.232989815389963,4687.923522457487
2026-07-07 10:45:00 AM ET,303.51,305.46,303.51,305.43,14056,299.92192307692306,0.6906555458486618,16.390125821716687,4720.319767593312
2026-07-07 11:00:00 AM ET,305.34,308.26,305.19,306.27,22552,300.2861538461538,0.2750220999901742,16.575637835235877,4753.15170527341
2026-07-07 11:15:00 AM ET,305.995,307.52,305.79,307.52,8034,300.61384615384617,0.4081366114865981,16.741475042584966,4786.41020982314
2026-07-07 11:30:00 AM ET,307.81,309.59,307.68,309.38,17491,300.9934615384616,0.6048387096774244,16.922994779600735,4749.575840453061
2026-07-07 11:45:00 AM ET,309.56,310.83,309.56,310.54,18032,301.4034615384616,0.3749434352576131,17.10057707087068,4784.83433273539
2026-07-07 12:00:00 PM ET,310.73,311.61,310.54,310.54,10385,301.85538461538465,0.0,17.289038541057682,4819.693711088436
2026-07-07 12:15:00 PM ET,310.5,310.99,310.29,310.57,8188,302.3163461538461,0.0096605912281777,17.49519237210679,4854.2903822203
2026-07-07 12:30:00 PM ET,310.665,311.405,310.165,311.01,5073,302.78326923076924,0.141674984705542,17.68588473890485,4889.159448132452
2026-07-07 12:45:00 PM ET,310.85,311.01,310.22,310.415,6710,303.2126923076923,-0.1913121764573366,17.864552294358532,4765.018372617888
2026-07-07 01:00:00 PM ET,310.77,311.075,309.83,310.07,9408,303.59576923076924,-0.1111415363304058,18.017463172434297,4569.906931137815
2026-07-07 01:15:00 PM ET,310.18,311.56,309.28,311.37,4027,304.03903846153844,0.4192601670590656,18.12739716505288,4572.154156184392
2026-07-07 01:30:00 PM ET,311.52,311.555,310.415,310.63,7121,304.5105769230769,-0.2376593763047219,18.18338343622989,3952.3609176700966
2026-07-07 01:45:00 PM ET,310.75,311.14,310.235,311.1,3917,305.0286538461538,0.1513054115829248,18.24106820861544,3339.2196147309787
2026-07-07 02:00:00 PM ET,311.19,311.725,310.255,310.98,6933,305.5236538461538,-0.038572806171655,18.298752981000984,3367.590878790795
